bedrock_item_identifier,bedrock_item_damage,java_item_identifier
minecraft:air,0,minecraft:air
minecraft:stone,0,minecraft:stone
minecraft:stone,1,minecraft:granite
minecraft:stone,2,minecraft:polished_granite
minecraft:stone,3,minecraft:diorite
minecraft:stone,4,minecraft:polished_diorite
minecraft:stone,5,minecraft:andesite
minecraft:stone,6,minecraft:polished_andesite
minecraft:deepslate,0,minecraft:deepslate
minecraft:cobbled_deepslate,0,minecraft:cobbled_deepslate
minecraft:polished_deepslate,0,minecraft:polished_deepslate
minecraft:calcite,0,minecraft:calcite
minecraft:tuff,0,minecraft:tuff
minecraft:dripstone_block,0,minecraft:dripstone_block
minecraft:grass,0,minecraft:grass_block
minecraft:dirt,0,minecraft:dirt
minecraft:dirt,1,minecraft:coarse_dirt
minecraft:podzol,0,minecraft:podzol
minecraft:dirt_with_roots,0,minecraft:rooted_dirt
minecraft:mud,0,minecraft:mud
minecraft:crimson_nylium,0,minecraft:crimson_nylium
minecraft:warped_nylium,0,minecraft:warped_nylium
minecraft:cobblestone,0,minecraft:cobblestone
minecraft:planks,0,minecraft:oak_planks
minecraft:planks,1,minecraft:spruce_planks
minecraft:planks,2,minecraft:birch_planks
minecraft:planks,3,minecraft:jungle_planks
minecraft:planks,4,minecraft:acacia_planks
minecraft:planks,5,minecraft:dark_oak_planks
minecraft:mangrove_planks,0,minecraft:mangrove_planks
minecraft:planks,0,minecraft:bamboo_planks
minecraft:crimson_planks,0,minecraft:crimson_planks
minecraft:warped_planks,0,minecraft:warped_planks
minecraft:planks,0,minecraft:bamboo_mosaic
minecraft:sapling,0,minecraft:oak_sapling
minecraft:sapling,1,minecraft:spruce_sapling
minecraft:sapling,2,minecraft:birch_sapling
minecraft:sapling,3,minecraft:jungle_sapling
minecraft:sapling,4,minecraft:acacia_sapling
minecraft:sapling,5,minecraft:dark_oak_sapling
minecraft:mangrove_propagule,0,minecraft:mangrove_propagule
minecraft:bedrock,0,minecraft:bedrock
minecraft:sand,0,minecraft:sand
minecraft:sand,1,minecraft:red_sand
minecraft:gravel,0,minecraft:gravel
minecraft:coal_ore,0,minecraft:coal_ore
minecraft:deepslate_coal_ore,0,minecraft:deepslate_coal_ore
minecraft:iron_ore,0,minecraft:iron_ore
minecraft:deepslate_iron_ore,0,minecraft:deepslate_iron_ore
minecraft:copper_ore,0,minecraft:copper_ore
minecraft:deepslate_copper_ore,0,minecraft:deepslate_copper_ore
minecraft:gold_ore,0,minecraft:gold_ore
minecraft:deepslate_gold_ore,0,minecraft:deepslate_gold_ore
minecraft:redstone_ore,0,minecraft:redstone_ore
minecraft:deepslate_redstone_ore,0,minecraft:deepslate_redstone_ore
minecraft:emerald_ore,0,minecraft:emerald_ore
minecraft:deepslate_emerald_ore,0,minecraft:deepslate_emerald_ore
minecraft:lapis_ore,0,minecraft:lapis_ore
minecraft:deepslate_lapis_ore,0,minecraft:deepslate_lapis_ore
minecraft:diamond_ore,0,minecraft:diamond_ore
minecraft:deepslate_diamond_ore,0,minecraft:deepslate_diamond_ore
minecraft:nether_gold_ore,0,minecraft:nether_gold_ore
minecraft:quartz_ore,0,minecraft:nether_quartz_ore
minecraft:ancient_debris,0,minecraft:ancient_debris
